iter	Logloss
0	0.681921918
1	0.6713428125
2	0.6608480455
3	0.6523393408
4	0.6441624179
5	0.6335087203
6	0.6221778894
7	0.6121439057
8	0.6027563621
9	0.592334569
10	0.5832224333
11	0.575310345
12	0.5663788125
13	0.5578731873
14	0.5486008085
15	0.5405603041
16	0.532253986
17	0.5237837084
18	0.5164544965
19	0.5104129398
20	0.5024193949
21	0.4957202838
22	0.488875081
23	0.4816664481
24	0.4747317029
25	0.4681669529
26	0.4617697628
27	0.4546607538
28	0.4493779227
29	0.4425845022
30	0.4367884306
31	0.4302514124
32	0.4243630254
33	0.4189550656
34	0.4127697174
35	0.4061739417
36	0.4000453859
37	0.3938167111
38	0.3883090515
39	0.3827597607
40	0.3772677791
41	0.3729924812
42	0.3678063058
43	0.3633210911
44	0.3585669135
45	0.3535287222
46	0.3498936179
47	0.3457732004
48	0.3412698137
49	0.3364014229
50	0.3325086019
51	0.3282214576
52	0.3238182838
53	0.3199285551
54	0.3164772012
55	0.3124216716
56	0.3076339309
57	0.3037573721
58	0.3003152947
59	0.2965619014
60	0.2932804192
61	0.2893823901
62	0.2858955063
63	0.283035503
64	0.2801982211
65	0.2774186351
66	0.2744578366
67	0.2710116911
68	0.2674967313
69	0.2653359073
70	0.262389416
71	0.2597866577
72	0.2573568194
73	0.254444097
74	0.2512381098
75	0.2482585322
76	0.2454529348
77	0.2428577882
78	0.2399086928
79	0.2373705448
80	0.2351449815
81	0.2329248225
82	0.2303905917
83	0.2286415158
84	0.2263542293
85	0.2242007235
86	0.2216421769
87	0.2197806066
88	0.2180476481
89	0.2155931297
90	0.212527136
91	0.2110810531
92	0.2091496907
93	0.2067123225
94	0.2042955708
95	0.2020713761
96	0.2002180924
97	0.1986686851
98	0.1969678885
99	0.194963939
100	0.1934691666
101	0.191767642
102	0.1899758227
103	0.1887032654
104	0.1871061082
105	0.1852543192
106	0.1835209071
107	0.1816736586
108	0.1795998753
109	0.1775039134
110	0.1759672448
111	0.1744570313
112	0.1723615026
113	0.170873011
114	0.1696187425
115	0.1680758569
116	0.1666567927
117	0.1652748454
118	0.1641521084
119	0.1627736953
120	0.1612976285
121	0.1599785802
122	0.1585715878
123	0.1576536011
124	0.1565106082
125	0.1549610141
126	0.1534845936
127	0.1523916817
128	0.1513448514
129	0.1499270479
130	0.1486421166
131	0.1477553469
132	0.1463127224
133	0.1452664569
134	0.1443941358
135	0.1430514738
136	0.1419789201
137	0.1407677961
138	0.1397263762
139	0.1387382156
140	0.1378621718
141	0.136768373
142	0.1359512876
143	0.1349253275
144	0.1341280279
145	0.1330416809
146	0.1320072192
147	0.1313170036
148	0.1306319674
149	0.1295608764
150	0.1285346397
151	0.1276231709
152	0.126571817
153	0.1256852037
154	0.1245269015
155	0.1236343517
156	0.1227491501
157	0.1219054075
158	0.1210524406
159	0.1199764957
160	0.1192399585
161	0.1185991024
162	0.1177965157
163	0.1167709999
164	0.1161712785
165	0.1151619957
166	0.1144676094
167	0.1139555123
168	0.1130845093
169	0.112382505
170	0.1115837832
171	0.1107134659
172	0.1100516396
173	0.1092722515
174	0.1085132466
175	0.1079866653
176	0.1074294143
177	0.1069575141
178	0.1062185505
179	0.1057188011
180	0.104918427
181	0.104124169
182	0.1034894706
183	0.1028346574
184	0.1022858187
185	0.101480228
186	0.1010200126
187	0.1003165251
188	0.09988229452
189	0.09933315702
190	0.09858889408
191	0.09809221543
192	0.09747980765
193	0.09699244273
194	0.09650429462
195	0.09577502213
196	0.09511331375
197	0.09453634244
198	0.09381871287
199	0.09327306832
200	0.09261509312
201	0.09200674417
202	0.09137111472
203	0.09090949331
204	0.09050936675
205	0.08993965599
206	0.08943718782
207	0.08896431877
208	0.08836654478
209	0.08787345568
210	0.08751828648
211	0.08716472311
212	0.08677661484
213	0.0860774369
214	0.08561331227
215	0.08513505489
216	0.08469250645
217	0.08433647212
218	0.08401239776
219	0.08356508785
220	0.08310340113
221	0.08278661304
222	0.08239349298
223	0.08195580797
224	0.08157024564
225	0.08121578146
226	0.08079914906
227	0.08040272723
228	0.08006454094
229	0.0795649358
230	0.07910529109
231	0.07864149843
232	0.07823391249
233	0.07788885059
234	0.07755682597
235	0.07711902712
236	0.07679962648
237	0.07630129774
238	0.07592147763
239	0.0755086956
240	0.07510660675
241	0.07468689813
242	0.07448252824
243	0.07418264443
244	0.07364983185
245	0.07328215431
246	0.07300075486
247	0.07259624569
248	0.07225533854
249	0.07188370487
250	0.07158511154
251	0.0711911649
252	0.07072133578
253	0.07034115218
254	0.07003409663
255	0.06967874107
256	0.06933283609
257	0.06897897818
258	0.06866617666
259	0.06835570956
260	0.0679894041
261	0.0675744677
262	0.06724568879
263	0.06694720178
264	0.06657874974
265	0.06626629987
266	0.06598915356
267	0.06563350354
268	0.06521067892
269	0.06494195244
270	0.06462842889
271	0.06431472101
272	0.06402515012
273	0.06378130811
274	0.06355361145
275	0.06325506124
276	0.06308232545
277	0.06274847373
278	0.06254195239
279	0.06234354585
280	0.06202858362
281	0.06164166872
282	0.06135561255
283	0.06101469473
284	0.06082909948
285	0.06061484621
286	0.06035199623
287	0.06008638809
288	0.0598313823
289	0.05955481555
290	0.05927067267
291	0.05900477594
292	0.05865455797
293	0.05836427978
294	0.05807998057
295	0.05775046236
296	0.0575823838
297	0.05732550852
298	0.05710034144
299	0.05687028257
300	0.05649280684
301	0.05621274637
302	0.05597440202
303	0.05576112651
304	0.05555658843
305	0.05529092848
306	0.0550991846
307	0.05482932917
308	0.05464647672
309	0.05429651532
310	0.05403641891
311	0.05385461152
312	0.05363871368
313	0.05344143385
314	0.05326429328
315	0.05306650197
316	0.05283755101
317	0.05266178741
318	0.052474457
319	0.05220820583
320	0.05199447321
321	0.05183307563
322	0.05165887061
323	0.0514471004
324	0.0512655245
325	0.05104502759
326	0.05081283733
327	0.05060739771
328	0.05036884235
329	0.05022920205
330	0.05002767389
331	0.04978911207
332	0.04959329897
333	0.04946823576
334	0.04926852787
335	0.04906505306
336	0.04885553364
337	0.04869148131
338	0.04847278072
339	0.04833095074
340	0.04819822937
341	0.04798374407
342	0.04777267266
343	0.0476007365
344	0.04740961544
345	0.04728262243
346	0.04708494414
347	0.04687309212
348	0.04670637357
349	0.04656837395
350	0.04639827233
351	0.04621306001
352	0.04610617223
353	0.04598388485
354	0.04585937247
355	0.04577151961
356	0.04563723151
357	0.04543988471
358	0.04527840289
359	0.0450466124
360	0.0448808678
361	0.04471241255
362	0.04458763056
363	0.04442736971
364	0.04432695305
365	0.04419845594
366	0.0439922886
367	0.04383215079
368	0.04366056305
369	0.04352029416
370	0.04333682277
371	0.04316369746
372	0.04300034583
373	0.04288028365
374	0.04272758539
375	0.04256787012
376	0.04242349161
377	0.0423019875
378	0.04212633635
379	0.04196871352
380	0.04179045436
381	0.04165028228
382	0.04152762062
383	0.04141207416
384	0.04126419618
385	0.04112367096
386	0.04095910608
387	0.04080149791
388	0.04063581731
389	0.0404835281
390	0.04035833476
391	0.04023227158
392	0.04005114387
393	0.03996390823
394	0.03985514505
395	0.03971860796
396	0.03957733441
397	0.03945648355
398	0.03930815127
399	0.03917741669
400	0.0390972535
401	0.03900466285
402	0.0388657153
403	0.03868836097
404	0.03857771087
405	0.0384293194
406	0.0383195324
407	0.03814954759
408	0.03801184161
409	0.03792614085
410	0.03780715398
411	0.03770108893
412	0.03756570145
413	0.0373736593
414	0.03726190012
415	0.03719758782
416	0.03710284835
417	0.03700186081
418	0.03687678471
419	0.0367830772
420	0.03666882227
421	0.03654911174
422	0.03638804785
423	0.03626873718
424	0.03614458995
425	0.03602032422
426	0.03589413593
427	0.0357672387
428	0.03564098853
429	0.03553016695
430	0.03545129098
431	0.03531359519
432	0.03521815071
433	0.03509576669
434	0.03498153431
435	0.03491196401
436	0.03480261067
437	0.03471403008
438	0.03459115214
439	0.03443371069
440	0.0343290168
441	0.03420748623
442	0.03410299368
443	0.0340243709
444	0.03393933584
445	0.03381811986
446	0.03372569079
447	0.03361899205
448	0.03354269172
449	0.03342735643
450	0.03331739617
451	0.03325970341
452	0.03318131427
453	0.03308054362
454	0.03298451693
455	0.03287414105
456	0.03279445501
457	0.03267251839
458	0.03256443066
459	0.03248750501
460	0.03237664771
461	0.03231434144
462	0.03219290212
463	0.03212689724
464	0.03201146907
465	0.0319191055
466	0.03184871711
467	0.03174456759
468	0.03159670934
469	0.03149280788
470	0.03144900826
471	0.03134797414
472	0.03125757751
473	0.03117811153
474	0.03104961725
475	0.03093415103
476	0.0308576572
477	0.03073470557
478	0.03064601417
479	0.0305875444
480	0.03049366024
481	0.03043444113
482	0.03031916266
483	0.03024031965
484	0.03016752092
485	0.03009080339
486	0.0300378379
487	0.0299675509
488	0.02984229369
489	0.02972827605
490	0.0296656868
491	0.02959788401
492	0.02954501827
493	0.02947824299
494	0.02938192119
495	0.0293170688
496	0.02922020385
497	0.02913281787
498	0.02903287628
499	0.02895018392
500	0.02888475574
501	0.02883156266
502	0.02877353688
503	0.02866892008
504	0.02861839846
505	0.02854633469
506	0.02846483777
507	0.02838441482
508	0.02833930334
509	0.02824749037
510	0.02818401086
511	0.02809502157
512	0.02800737864
513	0.02792659752
514	0.0278322033
515	0.02776140603
516	0.02771213339
517	0.02764169904
518	0.02755930644
519	0.02745406403
520	0.02740993802
521	0.02733120709
522	0.02727651998
523	0.02717295476
524	0.02708223907
525	0.02702078224
526	0.02692793128
527	0.02682648197
528	0.0267643219
529	0.02666636161
530	0.02661716217
531	0.02655470203
532	0.02646179676
533	0.02640401371
534	0.02633283407
535	0.02624822733
536	0.02617777088
537	0.02610075116
538	0.02602216473
539	0.02593875648
540	0.02588068439
541	0.02582026822
542	0.0257552176
543	0.02569666719
544	0.02562009359
545	0.0255183651
546	0.02546429322
547	0.0254087707
548	0.02535468169
549	0.0252903375
550	0.02523389038
551	0.02518034438
552	0.02509076881
553	0.0250326589
554	0.02496635408
555	0.02488096095
556	0.02481809458
557	0.02474377194
558	0.02468615045
559	0.02460962381
560	0.02457897153
561	0.02447795736
562	0.02440739199
563	0.02435105742
564	0.024298312
565	0.0242358846
566	0.02418320779
567	0.02413931898
568	0.02411248157
569	0.02404240806
570	0.02397971828
571	0.02392507478
572	0.02387543793
573	0.02381536339
574	0.02372954783
575	0.0236398836
